#Linkage Group	Number	Genetic Map
GmEST-BFM_A2	1	GmEST-BFM
GmEST-BFM_B2	2	GmEST-BFM
GmEST-BFM_BLT1	3	GmEST-BFM
GmEST-BFM_BLT14	4	GmEST-BFM
GmEST-BFM_BLT16	5	GmEST-BFM
GmEST-BFM_BLT17	6	GmEST-BFM
GmEST-BFM_BLT18	7	GmEST-BFM
GmEST-BFM_BLT21	8	GmEST-BFM
GmEST-BFM_BLT22	9	GmEST-BFM
GmEST-BFM_BLT5	10	GmEST-BFM
GmEST-BFM_BLT8	11	GmEST-BFM
GmEST-BFM_C1	12	GmEST-BFM
GmEST-BFM_D2	13	GmEST-BFM
GmEST-BFM_F	14	GmEST-BFM
GmEST-BFM_G	15	GmEST-BFM
GmEST-BFM_I	16	GmEST-BFM
GmEST-BFM_K	17	GmEST-BFM
GmEST-BFM_N	18	GmEST-BFM
GmEST-BFM_O	19	GmEST-BFM
