#Linkage Group	Number	Genetic Map
GmFeChlorosis_A1	1	GmFeChlorosis
GmFeChlorosis_A2	2	GmFeChlorosis
GmFeChlorosis_B1	3	GmFeChlorosis
GmFeChlorosis_B2	4	GmFeChlorosis
GmFeChlorosis_C1	5	GmFeChlorosis
GmFeChlorosis_C2	6	GmFeChlorosis
GmFeChlorosis_D1a+Q	7	GmFeChlorosis
GmFeChlorosis_D1b+W	8	GmFeChlorosis
GmFeChlorosis_D2	9	GmFeChlorosis
GmFeChlorosis_E	10	GmFeChlorosis
GmFeChlorosis_F	11	GmFeChlorosis
GmFeChlorosis_G	12	GmFeChlorosis
GmFeChlorosis_H	13	GmFeChlorosis
GmFeChlorosis_I	14	GmFeChlorosis
GmFeChlorosis_J	15	GmFeChlorosis
GmFeChlorosis_K	16	GmFeChlorosis
GmFeChlorosis_L	17	GmFeChlorosis
GmFeChlorosis_M	18	GmFeChlorosis
GmFeChlorosis_N	19	GmFeChlorosis
GmFeChlorosis_O	20	GmFeChlorosis
GmFeChlorosis_Y	21	GmFeChlorosis
