#Linkage Group	Number	Genetic Map
GmMLG-JES_CxH1	1	GmMLG-JES
GmMLG-JES_CxH10	10	GmMLG-JES
GmMLG-JES_CxH11	11	GmMLG-JES
GmMLG-JES_CxH12	12	GmMLG-JES
GmMLG-JES_CxH13	13	GmMLG-JES
GmMLG-JES_CxH14	14	GmMLG-JES
GmMLG-JES_CxH15	15	GmMLG-JES
GmMLG-JES_CxH16	16	GmMLG-JES
GmMLG-JES_CxH17	17	GmMLG-JES
GmMLG-JES_CxH18	18	GmMLG-JES
GmMLG-JES_CxH19	19	GmMLG-JES
GmMLG-JES_CxH2	2	GmMLG-JES
GmMLG-JES_CxH20	20	GmMLG-JES
GmMLG-JES_CxH21	21	GmMLG-JES
GmMLG-JES_CxH22	22	GmMLG-JES
GmMLG-JES_CxH23	23	GmMLG-JES
GmMLG-JES_CxH24	24	GmMLG-JES
GmMLG-JES_CxH25	25	GmMLG-JES
GmMLG-JES_CxH26	26	GmMLG-JES
GmMLG-JES_CxH3	3	GmMLG-JES
GmMLG-JES_CxH4	4	GmMLG-JES
GmMLG-JES_CxH5	5	GmMLG-JES
GmMLG-JES_CxH6	6	GmMLG-JES
GmMLG-JES_CxH7	7	GmMLG-JES
GmMLG-JES_CxH8	8	GmMLG-JES
GmMLG-JES_CxH9	9	GmMLG-JES
