TaxonID	3847
Variety	Williams82
#Linkage Group	Number	Genetic Map
GmFeChlorosis2_A1	1	GmFeChlorosis2
GmFeChlorosis2_A2	2	GmFeChlorosis2
GmFeChlorosis2_B1	3	GmFeChlorosis2
GmFeChlorosis2_B2	4	GmFeChlorosis2
GmFeChlorosis2_C1	5	GmFeChlorosis2
GmFeChlorosis2_C2	6	GmFeChlorosis2
GmFeChlorosis2_D1a+Q	7	GmFeChlorosis2
GmFeChlorosis2_D2	8	GmFeChlorosis2
GmFeChlorosis2_E	9	GmFeChlorosis2
GmFeChlorosis2_F	10	GmFeChlorosis2
GmFeChlorosis2_G	11	GmFeChlorosis2
GmFeChlorosis2_H	12	GmFeChlorosis2
GmFeChlorosis2_I	13	GmFeChlorosis2
GmFeChlorosis2_J	14	GmFeChlorosis2
GmFeChlorosis2_K	15	GmFeChlorosis2
GmFeChlorosis2_L	16	GmFeChlorosis2
GmFeChlorosis2_M	17	GmFeChlorosis2
GmFeChlorosis2_N	18	GmFeChlorosis2
GmFeChlorosis2_O	19	GmFeChlorosis2
GmFeChlorosis2_Y	20	GmFeChlorosis2
