TaxonID	3847
#Linkage Group	Number	Genetic Map
GmComposite1999_A1	1	GmComposite1999
GmComposite1999_A2	2	GmComposite1999
GmComposite1999_B1	3	GmComposite1999
GmComposite1999_B2	4	GmComposite1999
GmComposite1999_C1	5	GmComposite1999
GmComposite1999_C2	6	GmComposite1999
GmComposite1999_D1a+Q	7	GmComposite1999
GmComposite1999_D1b+W	8	GmComposite1999
GmComposite1999_D2	9	GmComposite1999
GmComposite1999_E	10	GmComposite1999
GmComposite1999_F	11	GmComposite1999
GmComposite1999_G	12	GmComposite1999
GmComposite1999_H	13	GmComposite1999
GmComposite1999_I	14	GmComposite1999
GmComposite1999_J	15	GmComposite1999
GmComposite1999_K	16	GmComposite1999
GmComposite1999_L	17	GmComposite1999
GmComposite1999_M	18	GmComposite1999
GmComposite1999_N	19	GmComposite1999
GmComposite1999_O	20	GmComposite1999
