TaxonID	3847
Variety	Williams82
#Linkage Group	Number	Genetic Map
GmSSR-USDA-ISU_A1	1	GmSSR-USDA-ISU
GmSSR-USDA-ISU_A2	2	GmSSR-USDA-ISU
GmSSR-USDA-ISU_B1	3	GmSSR-USDA-ISU
GmSSR-USDA-ISU_B2	4	GmSSR-USDA-ISU
GmSSR-USDA-ISU_C1	5	GmSSR-USDA-ISU
GmSSR-USDA-ISU_C2	6	GmSSR-USDA-ISU
GmSSR-USDA-ISU_D1a+Q	7	GmSSR-USDA-ISU
GmSSR-USDA-ISU_D1b+W	8	GmSSR-USDA-ISU
GmSSR-USDA-ISU_D2	9	GmSSR-USDA-ISU
GmSSR-USDA-ISU_E	10	GmSSR-USDA-ISU
GmSSR-USDA-ISU_F	11	GmSSR-USDA-ISU
GmSSR-USDA-ISU_G	12	GmSSR-USDA-ISU
GmSSR-USDA-ISU_H	13	GmSSR-USDA-ISU
GmSSR-USDA-ISU_I	14	GmSSR-USDA-ISU
GmSSR-USDA-ISU_J	15	GmSSR-USDA-ISU
GmSSR-USDA-ISU_K	16	GmSSR-USDA-ISU
GmSSR-USDA-ISU_L	17	GmSSR-USDA-ISU
GmSSR-USDA-ISU_M	18	GmSSR-USDA-ISU
GmSSR-USDA-ISU_N	19	GmSSR-USDA-ISU
GmSSR-USDA-ISU_O	20	GmSSR-USDA-ISU
GmSSR-USDA-ISU_Y	21	GmSSR-USDA-ISU
