TaxonID	3847
Variety	Williams82
#Linkage Group	Number	Genetic Map
GmSSR-USDAARS-PBC_SSR1	1	GmSSR-USDAARS-PBC
GmSSR-USDAARS-PBC_SSR13	2	GmSSR-USDAARS-PBC
GmSSR-USDAARS-PBC_SSR15	3	GmSSR-USDAARS-PBC
GmSSR-USDAARS-PBC_SSR16	4	GmSSR-USDAARS-PBC
GmSSR-USDAARS-PBC_SSR18	5	GmSSR-USDAARS-PBC
GmSSR-USDAARS-PBC_SSR2	6	GmSSR-USDAARS-PBC
GmSSR-USDAARS-PBC_SSR21	7	GmSSR-USDAARS-PBC
GmSSR-USDAARS-PBC_SSR22	8	GmSSR-USDAARS-PBC
GmSSR-USDAARS-PBC_SSR23	9	GmSSR-USDAARS-PBC
GmSSR-USDAARS-PBC_SSR24	10	GmSSR-USDAARS-PBC
GmSSR-USDAARS-PBC_SSR26	11	GmSSR-USDAARS-PBC
GmSSR-USDAARS-PBC_SSR28	12	GmSSR-USDAARS-PBC
GmSSR-USDAARS-PBC_SSR3	13	GmSSR-USDAARS-PBC
GmSSR-USDAARS-PBC_SSR6	14	GmSSR-USDAARS-PBC
GmSSR-USDAARS-PBC_SSR7	15	GmSSR-USDAARS-PBC
GmSSR-USDAARS-PBC_SSR8	16	GmSSR-USDAARS-PBC
