TaxonID	3847
#Linkage Group	Number	Genetic Map
GmRFLP-GA1996a_A2	1	GmRFLP-GA1996a
GmRFLP-GA1996a_B1.1	2	GmRFLP-GA1996a
GmRFLP-GA1996a_B1.2	3	GmRFLP-GA1996a
GmRFLP-GA1996a_C1.1	4	GmRFLP-GA1996a
GmRFLP-GA1996a_C1.2	5	GmRFLP-GA1996a
GmRFLP-GA1996a_C2.1	6	GmRFLP-GA1996a
GmRFLP-GA1996a_C2.2	7	GmRFLP-GA1996a
GmRFLP-GA1996a_D1	8	GmRFLP-GA1996a
GmRFLP-GA1996a_E	9	GmRFLP-GA1996a
GmRFLP-GA1996a_F.1	10	GmRFLP-GA1996a
GmRFLP-GA1996a_F.2	11	GmRFLP-GA1996a
GmRFLP-GA1996a_G.1	12	GmRFLP-GA1996a
GmRFLP-GA1996a_G.2	13	GmRFLP-GA1996a
GmRFLP-GA1996a_GA1_25	14	GmRFLP-GA1996a
GmRFLP-GA1996a_GA1_26	15	GmRFLP-GA1996a
GmRFLP-GA1996a_GA1_27	16	GmRFLP-GA1996a
GmRFLP-GA1996a_GA1_28	17	GmRFLP-GA1996a
GmRFLP-GA1996a_GA1_29	18	GmRFLP-GA1996a
GmRFLP-GA1996a_GA1_30	19	GmRFLP-GA1996a
GmRFLP-GA1996a_GA1_31	20	GmRFLP-GA1996a
GmRFLP-GA1996a_H.1	21	GmRFLP-GA1996a
GmRFLP-GA1996a_H.2	22	GmRFLP-GA1996a
GmRFLP-GA1996a_J.1	23	GmRFLP-GA1996a
GmRFLP-GA1996a_J.2	24	GmRFLP-GA1996a
GmRFLP-GA1996a_K	25	GmRFLP-GA1996a
GmRFLP-GA1996a_L	26	GmRFLP-GA1996a
GmRFLP-GA1996a_M	27	GmRFLP-GA1996a
GmRFLP-GA1996a_N.1	28	GmRFLP-GA1996a
GmRFLP-GA1996a_N.2	29	GmRFLP-GA1996a
GmRFLP-GA1996a_P	30	GmRFLP-GA1996a
GmRFLP-GA1996a_R	31	GmRFLP-GA1996a
