#Linkage Group	Number	Genetic Map
GmComposite2003_A1	1	GmComposite2003
GmComposite2003_A2	2	GmComposite2003
GmComposite2003_B1	3	GmComposite2003
GmComposite2003_B1S	4	GmComposite2003
GmComposite2003_B2	5	GmComposite2003
GmComposite2003_B2P	6	GmComposite2003
GmComposite2003_C1	7	GmComposite2003
GmComposite2003_C2	8	GmComposite2003
GmComposite2003_D1-b	9	GmComposite2003
GmComposite2003_D1a	10	GmComposite2003
GmComposite2003_D1b	11	GmComposite2003
GmComposite2003_D2	12	GmComposite2003
GmComposite2003_E	13	GmComposite2003
GmComposite2003_F	14	GmComposite2003
GmComposite2003_G	15	GmComposite2003
GmComposite2003_H	16	GmComposite2003
GmComposite2003_I	17	GmComposite2003
GmComposite2003_J	18	GmComposite2003
GmComposite2003_K	19	GmComposite2003
GmComposite2003_L	20	GmComposite2003
GmComposite2003_M	21	GmComposite2003
GmComposite2003_N	22	GmComposite2003
GmComposite2003_O	23	GmComposite2003
